Year,Reg,Group,Sex,ASMR_per_1000
1989,1130,T,F,11.9
1989,1130,T,M,21.4
1989,1130,U,B,15.7
1989,1130,U,F,12.3
1989,1130,U,M,23.1
1989,1132,R,B,13.1
1989,1132,R,F,9.7
1989,1132,R,M,17.8
1989,1132,T,B,12.6
1989,1132,T,F,9.6
1989,1132,T,M,17.5
1989,1132,U,B,12.6
1989,1132,U,F,9.6
1989,1132,U,M,17.5
1989,1133,R,B,12.4
1989,1133,R,F,9
1989,1133,R,M,18.5
1989,1133,T,B,11.7
1989,1133,T,F,8.8
1989,1133,T,M,17
1989,1133,U,B,11.4
1989,1133,U,F,8.8
1989,1133,U,M,16.4
1989,1134,R,B,12.2
1989,1134,R,F,8.9
1989,1134,R,M,18.2
1989,1134,T,B,11.9
1989,1134,T,F,9
1989,1134,T,M,17.4
1989,1134,U,B,11.9
1989,1134,U,F,9.2
1989,1134,U,M,17.1
1989,1136,R,B,11.3
1989,1136,R,F,8.2
1989,1136,R,M,16.6
1989,1136,T,B,11.4
1989,1136,T,F,8.6
1989,1136,T,M,16.2
1989,1136,U,B,11.5
1989,1136,U,F,8.8
1989,1136,U,M,16.2
1989,1137,R,B,11.4
1989,1137,R,F,8.3
1989,1137,R,M,16.5
1989,1137,T,B,11.4
1989,1137,T,F,8.4
1989,1137,T,M,16.5
1989,1137,U,B,11.5
1989,1137,U,F,8.6
1989,1137,U,M,16.6
1989,1138,R,B,12.2
1989,1138,R,F,8.5
1989,1138,R,M,18.4
1989,1138,T,B,11.7
1989,1138,T,F,8.5
1989,1138,T,M,17.3
1989,1138,U,B,11.5
1989,1138,U,F,8.7
1989,1138,U,M,16.6
1989,1140,R,B,NA
1989,1140,R,F,NA
1989,1140,R,M,NA
1989,1140,T,B,11.5
1989,1140,T,F,9.1
1989,1140,T,M,15.6
1989,1140,U,B,11.5
1989,1140,U,F,9.1
1989,1140,U,M,15.6
1989,1141,R,B,11.9
1989,1141,R,F,8.5
1989,1141,R,M,18.2
1989,1141,T,B,12.3
1989,1141,T,F,9.2
1989,1141,T,M,17.8
1989,1141,U,B,12.7
1989,1141,U,F,9.7
1989,1141,U,M,17.6
1989,1142,R,B,11.6
1989,1142,R,F,8.2
1989,1142,R,M,17.7
1989,1142,T,B,11.3
1989,1142,T,F,8.2
1989,1142,T,M,16.8
1989,1142,U,B,11.4
1989,1142,U,F,8.6
1989,1142,U,M,16.4
1989,1144,R,B,13.8
1989,1144,R,F,10.1
1989,1144,R,M,20.2
1989,1144,T,B,14.8
1989,1144,T,F,11.1
1989,1144,T,M,20.8
1989,1144,U,B,15.2
1989,1144,U,F,11.6
1989,1144,U,M,21.1
1989,1145,R,B,10.2
1989,1145,R,F,11.8
1989,1145,R,M,9.3
1989,1145,T,B,11.6
1989,1145,T,F,9.1
1989,1145,T,M,15.8
1989,1145,U,B,11.6
1989,1145,U,F,9.1
1989,1145,U,M,15.8
1989,1146,R,B,12.4
1989,1146,R,F,9.1
1989,1146,R,M,18.2
1989,1146,T,B,11.9
1989,1146,T,F,9
1989,1146,T,M,16.9
1989,1146,U,B,11.8
1989,1146,U,F,9
1989,1146,U,M,16.5
1989,1147,R,B,11.1
1989,1147,R,F,8.9
1989,1147,R,M,14.3
1989,1147,T,B,11.7
1989,1147,T,F,9.2
1989,1147,T,M,16.2
1989,1147,U,B,11.8
1989,1147,U,F,9.2
1989,1147,U,M,16.3
1989,1149,R,B,13.2
1989,1149,R,F,8.9
1989,1149,R,M,20.2
1989,1149,T,B,12.3
1989,1149,T,F,8.9
1989,1149,T,M,18
1989,1149,U,B,12.1
1989,1149,U,F,9.1
1989,1149,U,M,17
1989,1150,R,B,11.9
1989,1150,R,F,8.7
1989,1150,R,M,17
1989,1150,T,B,11.8
1989,1150,T,F,9
1989,1150,T,M,16.8
1989,1150,U,B,11.8
1989,1150,U,F,9.1
1989,1150,U,M,16.8
1989,1152,R,B,12
1989,1152,R,F,9.1
1989,1152,R,M,17
1989,1152,T,B,11.6
1989,1152,T,F,8.9
1989,1152,T,M,16.5
1989,1152,U,B,11.5
1989,1152,U,F,8.8
1989,1152,U,M,16.3
1989,1153,R,B,10.2
1989,1153,R,F,7.4
1989,1153,R,M,14.9
1989,1153,T,B,10.9
1989,1153,T,F,8.2
1989,1153,T,M,15.5
1989,1153,U,B,11.3
1989,1153,U,F,8.7
1989,1153,U,M,16
1989,1154,R,B,12.1
1989,1154,R,F,8.5
1989,1154,R,M,17.9
1989,1154,T,B,11.2
1989,1154,T,F,8.3
1989,1154,T,M,16.5
1989,1154,U,B,10.7
1989,1154,U,F,8.2
1989,1154,U,M,15.7
1989,1156,R,B,10.8
1989,1156,R,F,7.6
1989,1156,R,M,16.3
1989,1156,T,B,10.5
1989,1156,T,F,7.7
1989,1156,T,M,15.6
1989,1156,U,B,10.5
1989,1156,U,F,7.9
1989,1156,U,M,15.2
1989,1157,R,B,13.3
1989,1157,R,F,10.2
1989,1157,R,M,18.3
1989,1157,T,B,12.4
1989,1157,T,F,9.6
1989,1157,T,M,17.3
1989,1157,U,B,12.2
1989,1157,U,F,9.5
1989,1157,U,M,17.1
1989,1158,R,B,13.3
1989,1158,R,F,9.3
1989,1158,R,M,19.7
1989,1158,T,B,12.3
1989,1158,T,F,9
1989,1158,T,M,17.9
1989,1158,U,B,11.9
1989,1158,U,F,9.1
1989,1158,U,M,16.8
1989,1160,R,B,11.4
1989,1160,R,F,8.4
1989,1160,R,M,15.9
1989,1160,T,B,11.5
1989,1160,T,F,8.8
1989,1160,T,M,15.9
1989,1160,U,B,11.7
1989,1160,U,F,9
1989,1160,U,M,15.9
1989,1161,R,B,12.2
1989,1161,R,F,8.4
1989,1161,R,M,18.4
1989,1161,T,B,11.4
1989,1161,T,F,8.1
1989,1161,T,M,17
1989,1161,U,B,11.1
1989,1161,U,F,8
1989,1161,U,M,16.4
1989,1163,R,B,11.4
1989,1163,R,F,8
1989,1163,R,M,16.9
1989,1163,T,B,11.3
1989,1163,T,F,8.4
1989,1163,T,M,16.3
1989,1163,U,B,11.3
1989,1163,U,F,8.6
1989,1163,U,M,16.1
1989,1164,R,B,14.8
1989,1164,R,F,10.7
1989,1164,R,M,22.7
1989,1164,T,B,13.9
1989,1164,T,F,10.6
1989,1164,T,M,19.1
1989,1164,U,B,13.8
1989,1164,U,F,10.6
1989,1164,U,M,18.5
1989,1165,R,B,13
1989,1165,R,F,9.5
1989,1165,R,M,18.4
1989,1165,T,B,12.1
1989,1165,T,F,9.2
1989,1165,T,M,16.9
1989,1165,U,B,11.9
1989,1165,U,F,9.2
1989,1165,U,M,16.7
1989,1166,R,B,12.4
1989,1166,R,F,8.7
1989,1166,R,M,18.4
1989,1166,T,B,11.5
1989,1166,T,F,8.5
1989,1166,T,M,16.8
1989,1166,U,B,11.2
1989,1166,U,F,8.5
1989,1166,U,M,16.1
1989,1168,R,B,12.1
1989,1168,R,F,8.3
1989,1168,R,M,18.1
1989,1168,T,B,11.8
1989,1168,T,F,8.4
1989,1168,T,M,17.4
1989,1168,U,B,11.7
1989,1168,U,F,8.6
1989,1168,U,M,16.8
1989,1169,R,B,13.4
1989,1169,R,F,10.2
1989,1169,R,M,18.4
1989,1169,T,B,12.3
1989,1169,T,F,9.4
1989,1169,T,M,17.1
1989,1169,U,B,11.7
1989,1169,U,F,9
1989,1169,U,M,16.6
1989,1170,R,B,13.7
1989,1170,R,F,9.6
1989,1170,R,M,20
1989,1170,T,B,12.2
1989,1170,T,F,9
1989,1170,T,M,17.4
1989,1170,U,B,11.8
1989,1170,U,F,8.9
1989,1170,U,M,16.8
1989,1171,R,B,11.5
1989,1171,R,F,8.5
1989,1171,R,M,16.2
1989,1171,T,B,11.2
1989,1171,T,F,8.4
1989,1171,T,M,15.5
1989,1171,U,B,11.3
1989,1171,U,F,8.6
1989,1171,U,M,15.4
1989,1173,R,B,11.5
1989,1173,R,F,8.3
1989,1173,R,M,17.1
1989,1173,T,B,11.2
1989,1173,T,F,8.3
1989,1173,T,M,16.5
1989,1173,U,B,11.3
1989,1173,U,F,8.5
1989,1173,U,M,16.4
1989,1175,R,B,11.7
1989,1175,R,F,8.6
1989,1175,R,M,17.2
1989,1175,T,B,11.5
1989,1175,T,F,8.7
1989,1175,T,M,16.4
1989,1175,U,B,11.4
1989,1175,U,F,8.7
1989,1175,U,M,16.2
1989,1176,R,B,13.2
1989,1176,R,F,10.5
1989,1176,R,M,17.1
1989,1176,T,B,12.9
1989,1176,T,F,10.1
1989,1176,T,M,16.7
1989,1176,U,B,12.7
