Year,Reg,Group,Sex,DrAa0,DrAa1,DrAa5,DrAa10,DrAa15,DrAa20,DrAa25,DrAa30,DrAa35,DrAa40,DrAa45,DrAa50,DrAa55,DrAa60,DrAa65,DrAa70,DrAa75,DrAa80,DrAa85
1989,1100,T,B,17560,1051,547,467,1102,1672,2057,2539,3369,4647,7090,9880,14750,20788,28806,45398,70207,111403,197729
1989,1100,T,M,20250,1192,696,610,1541,2605,3291,4038,5242,7113,10972,15264,22681,32497,45227,67663,97915,144458,224841
1989,1100,T,F,14752,904,393,320,643,704,787,1020,1509,2258,3590,5228,8446,13164,21641,36800,61175,102772,192404
1989,1100,U,B,17033,847,490,433,982,1431,1816,2285,3105,4353,6704,9468,14606,21117,29507,46834,72807,114413,200409
1989,1100,U,M,19781,954,618,563,1400,2208,2907,3667,4863,6685,10368,14664,22581,32594,45674,68200,99110,146037,225684
1989,1100,U,F,14165,737,358,300,563,638,727,937,1423,2153,3432,5069,8455,13557,22413,38197,63752,105849,195203
1989,1100,R,B,18817,1541,690,552,1515,2434,2784,3352,4315,5841,8267,10997,15068,20043,27214,42308,65134,105737,193067
1989,1100,R,M,21371,1768,893,729,1984,3821,4379,5136,6501,8751,12777,16825,22888,32273,44204,66384,95278,141225,223195
1989,1100,R,F,16152,1305,482,371,946,918,980,1309,1847,2717,4080,5673,8424,12288,19897,33910,56342,97103,187643
1989,3000,T,B,16396,872,488,413,1053,1525,1878,2443,3343,4635,7178,9910,14757,20727,28662,44837,69581,112147,202343
1989,3000,T,M,19078,989,601,535,1468,2416,3049,3990,5290,7179,11420,15701,23223,32937,45534,67950,98122,145643,230014
1989,3000,T,F,13603,751,372,287,630,636,709,916,1462,2230,3443,5020,8186,12904,21462,36218,60740,103810,197117
1989,3000,U,B,16348,770,452,391,948,1329,1645,2155,3015,4260,6720,9352,14407,20996,29316,46224,72230,115075,201394
1989,3000,U,M,19179,862,553,505,1330,2068,2661,3540,4777,6577,10620,14717,22667,32690,45513,67489,98205,145644,227061
1989,3000,U,F,13400,674,348,272,574,609,667,843,1378,2126,3321,4916,8190,13326,22285,37764,63467,106905,196118
1989,3000,R,B,16572,1242,625,497,1553,2385,2868,3721,4935,6666,8897,11771,15640,20045,27059,41620,64178,106419,204081
1989,3000,R,M,18728,1449,781,647,2063,3852,4560,5774,7506,10186,14347,18828,24546,33602,45588,69214,97913,145630,236783
1989,3000,R,F,14333,1028,463,341,931,762,905,1280,1917,2843,3912,5383,8176,11867,19476,32835,55511,98009,198895
1989,1114,T,B,14899,972,373,327,1133,1462,1976,2460,3097,4258,6436,9772,13550,17516,25668,40098,60654,107957,197504
1989,1114,T,M,19135,1227,414,429,1662,2391,3340,3932,4606,6537,10064,15298,20710,28317,41204,64595,89279,135270,230667
1989,1114,T,F,10485,707,329,222,624,590,609,977,1559,2015,3275,4847,7636,10774,18907,31255,51942,100567,190309
1989,1114,U,B,15103,946,387,298,959,1188,1735,2044,2436,3438,5949,9546,13179,19430,28342,42828,68014,114092,197551
1989,1114,U,M,19836,1128,477,400,1328,1912,2854,3201,3406,4995,9111,14295,19866,30826,43603,62049,101502,140358,250054
1989,1114,U,F,10151,757,293,192,633,538,683,961,1491,1929,3165,5294,7640,11745,21005,34709,56521,106642,186043
1989,1114,R,B,14478,1029,339,394,1625,2066,2574,3624,5091,6453,7208,10075,13891,15858,23427,38028,56030,104154,197440
1989,1114,R,M,17655,1444,265,497,2476,3373,4421,5719,7911,10549,11596,16641,21485,25938,38916,66961,80343,131906,218597
1989,1114,R,F,11196,598,417,289,598,714,405,1032,1786,2253,3447,4257,7632,9978,17246,28828,49199,96868,192898
1989,1115,T,B,14392,1054,494,318,1016,1798,2213,2517,3432,4430,7074,9209,12907,18538,26372,41524,63668,102873,210371
1989,1115,T,M,16298,1075,561,335,1438,3010,3540,4119,5634,6984,11959,14739,19791,29480,44866,63029,88627,133183,251628
1989,1115,T,F,12386,1032,424,301,574,540,809,846,1182,1899,2665,4559,7648,11958,19016,33685,56106,95234,201801
1989,1115,U,B,14038,832,491,255,777,1449,1754,2067,2889,3932,6375,8454,12385,18969,27884,43990,65779,108215,209624
1989,1115,U,M,15830,812,573,196,1223,2439,2686,3409,4800,6169,10748,13074,19268,29299,45844,65646,88267,130201,268845
1989,1115,U,F,12137,854,406,313,328,458,826,756,1037,1770,2486,4545,7141,12470,20475,35225,58342,102617,196692
1989,1115,R,B,15202,1572,501,467,1778,2712,3478,3881,5259,6041,8553,10583,13525,18019,24666,38757,61587,97857,211029
1989,1115,R,M,17381,1698,531,659,2069,4414,5646,6024,8152,9480,14464,17802,20407,29712,43696,59562,89022,135972,234579
1989,1115,R,F,12946,1443,471,270,1429,769,754,1159,1732,2337,3054,4586,8251,11363,17406,32058,53996,88327,206381
1989,1117,T,B,15781,787,447,445,1127,1551,1767,2164,2990,4665,7375,10496,15261,21636,28576,44872,69136,116863,198301
1989,1117,T,M,18241,782,579,680,1647,2604,2973,3431,4705,7119,12314,16946,24516,34168,47216,72930,99793,166421,231797
1989,1117,T,F,13280,793,313,203,620,532,555,897,1271,2304,3039,5107,8113,13456,20768,35045,60926,106558,193388
1989,1117,U,B,15587,698,426,389,1038,1303,1573,2095,2782,4167,6882,10059,14675,22102,28803,45493,70699,116511,200363
1989,1117,U,M,18691,654,563,611,1504,2134,2654,3359,4367,6503,11382,16373,23456,34370,45839,72222,98513,171530,225902
1989,1117,U,F,12420,742,287,162,583,495,505,865,1238,1984,3007,4873,8022,13941,21461,35711,62690,104606,196417
1989,1117,R,B,16525,1118,525,660,1615,2822,2627,2462,3985,7281,9515,12173,17021,20294,28005,43378,65934,117567,193911
1989,1117,R,M,16515,1250,640,943,2437,5049,4324,3723,6199,10091,16153,19060,27565,33563,50949,74832,102913,154924,245614
1989,1117,R,F,16534,983,407,361,822,716,783,1046,1443,4139,3181,6040,8396,12096,19065,33506,57481,110448,187055
1989,1120,T,B,15375,754,478,388,1024,1718,1981,2606,3167,4277,6777,9286,13713,18602,25341,40596,63008,104426,193840
